name,generic_name,manufacturer,purpose,warnings,route,dosage_form
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Kidney, Liver, and Heart Transplant Cyclosporine, when used in high doses, can cause hepatotoxicity and nephrotoxicity ( see BOXED WARNING ). Nephrotoxicity It is not unusual for serum creatinine and BUN levels to be elevated during cyclosporine therapy. These elevations in renal transplant patients do not necessarily indicate rejection, and each patient must be fully evaluated before dosage adjustment is initiated. Nephrotoxicity has been noted in 25% of cases of renal transplantation, 38% of cases of cardiac transplantation, and 37% of cases of liver transplantation. Mild nephrotoxicity was generally noted 2 to 3 months after transplant and consisted of an arrest in the fall of the preoperative elevations of BUN and creatinine at a range of 35 to 45 mg/dl and 2.0 to 2.5 mg/dl, respectively. These elevations were often responsive to dosage reduction. More overt nephrotoxicity was seen early after transplantation and was characterized by a rapidly rising BUN and creatinine. Since these events are similar to rejection episodes, care must be taken to differentiate between them. This form of nephrotoxicity is usually responsive to cyclosporine dosage reduction. Although specific diagnostic criteria which reliably differentiate renal graft rejection from drug toxicity have not been found, a number of parameters have been significantly associated to one or the other. It should be noted however, that up to 20% of patients may have simultaneous nephrotoxicity and rejection. Nephrotoxicity vs. Rejection Parameter Nephrotoxicity Rejection a p < 0.05, b p < 0.01, c p < 0.001, d p < 0.0001. History Donor > 50 years old or hypotensive Antidonor immune response Prolonged kidney preservation Retransplant patient Prolonged anastomosis time Concomitant nephrotoxic drugs Clinical Often > 6 weeks postop b Often < 4 weeks postop b Prolonged initial nonfunction (acute tubular necrosis) Fever > 37.5°C Weight gain > 0.5 kg Graft swelling and tenderness Decrease in daily urine volume > 500 mL (or 50%) Laboratory CyA serum trough level > 200 ng/mL CyA serum trough level < 150 ng/mL Gradual rise in Cr (< 0.15 mg/dL/day) a Rapid rise in Cr (> 0.3 mg/dL/day) a Cr plateau < 25% above baseline Cr > 25% above baseline BUN/Cr ≥ 20 BUN/Cr < 20 Biopsy Arteriolopathy (medial hypertrophy a , hyalinosis, nodular deposits, intimal thickening, endothelial vacuolization, progressive scarring) Endovasculitis c (proliferation a , intimal arteritis b , necrosis, sclerosis) Tubular atrophy, isometric vacuolization, isolated calcifications Tubulitis with RBC b and WBC b casts, some irregular vacuolization Minimal edema Interstitial edema c and hemorrhage b Mild focal infiltrates c Diffuse moderate to severe mononuclear infiltrates d Diffuse interstitial fibrosis, often striped form Glomerulitis (mononuclear cells) c Aspiration Cytology CyA deposits in tubular and endothelial cells Inflammatory infiltrate with mononuclear phagocytes, macrophages, lymphoblastoid cells, and activated T-cells Fine isometric vacuolization of tubular cells These strongly express HLA-DR antigens Urine Cytology Tubular cells with vacuolization and granularization Degenerative tubular cells, plasma cells, and lymphocyturia > 20% of sediment Manometry Intracapsular pressure < 40 mm Hg b Intracapsular pressure > 40 mm Hg b Ultra-sonography Unchanged graft cross-sectional area Increase in graft cross-sectional area AP diameter ≥ Transverse diameter Magnetic Resonance Imagery Normal appearance Loss of distinct corticomedullary junction, swelling, image intensity of parachyma approaching that of psoas, loss of hilar fat Radionuclide Scan Normal or generally decreased perfusion Patchy arterial flow Decrease in tubular function Decrease in perfusion > decrease in tubular function ( 131 I-hippuran) > decrease in perfusion ( 99m Tc DTPA) Increased uptake of Indium 111 labeled platelets or Tc-99m in colloid Therapy Responds to decreased cyclosporine Responds to increased steroids or antilymphocyte globulin A form of chronic progressive cyclosporine-associated nephrotoxicity is characterized by serial deterioration in renal function and morphologic changes in the kidneys. From 5% to 15% of transplant recipients will fail to show a reduction in a rising serum creatinine despite a decrease or discontinuation of cyclosporine therapy. Renal biopsies from these patients will demonstrate an interstitial fibrosis with tubular atrophy. In addition, toxic tubulopathy, peritubular capillary congestion, arteriolopathy, and a striped form of interstitial fibrosis with tubular atrophy may be present. Though none of these morphologic changes is entirely specific, a histologic diagnosis of chronic progressive cyclosporine-associated nephrotoxicity requires evidence of these. When considering the development of chronic nephrotoxicity it is noteworthy that several authors have reported an association between the appearance of interstitial fibrosis and higher cumulative doses or persistently high circulating trough concentrations of cyclosporine. This is particularly true during the first 6 posttransplant months when the dosage tends to be highest and when, in kidney recipients, the organ appears to be most vulnerable to the toxic effects of cyclosporine. Among other contributing factors to the development of interstitial fibrosis in these patients must be included, prolonged perfusion time, warm ischemia time, as well as episodes of acute toxicity, and acute and chronic rejection. The reversibility of interstitial fibrosis and its correlation to renal function have not yet been determined. Impaired renal function at any time requires close monitoring, and frequent dosage adjustment may be indicated. In patients with persistent high elevations of BUN and creatinine who are unresponsive to dosage adjustments, consideration should be given to switching to other immunosuppressive therapy. In the event of severe and unremitting rejection, it is preferable to allow the kidney transplant to be rejected and removed rather than increase the cyclosporine dosage to a very high level in an attempt to reverse the rejection. Due to the potential for additive or synergistic impairment of renal function, caution should be exercised when coadministering cyclosporine with other drugs that may impair renal function (see PRECAUTIONS, Drug Interactions ) . Thrombotic Microangiopathy Occasionally patients have developed a syndrome of thrombocytopenia and microangiopathic hemolytic anemia which may result in graft failure. The vasculopathy can occur in the absence of rejection and is accompanied by avid platelet consumption within the graft as demonstrated by Indium 111 labeled platelet studies. Neither the pathogenesis nor the management of this syndrome is clear. Though resolution has occurred after reduction or discontinuation of cyclosporine and 1) administration of streptokinase and heparin or 2) plasmapheresis, this appears to depend upon early detection with Indium 111 labeled platelet scans (see ADVERSE REACTIONS ). Hyperkalemia Significant hyperkalemia (sometimes associated with hyperchloremic metabolic acidosis) and hyperuricemia have been seen occasionally in individual patients. Hepatotoxicity Cases of hepatotoxicity and liver injury, including cholestasis, jaundice, hepatitis, and liver failure have been reported in patients treated with cyclosporine. Most reports included patients with significant co-morbidities, underlying conditions and other confounding factors, including infectious complications and comedications with hepatotoxic potential. In some cases, mainly in transplant patients, fatal outcomes have been reported (see ADVERSE REACTIONS, Postmarketing Experience ). Hepatotoxicity, usually manifested by elevations in hepatic enzymes and bilirubin, was reported in patients treated with cyclosporine in clinical trials: 4% in renal transplantation, 7% in cardiac transplantation, and 4% in liver transplantation. This was usually noted during the first month of therapy when high doses of cyclosporine were used. The chemistry elevations usually decreased with a reduction in dosage. Malignancies As in patients receiving other immunosuppressants, those patients receiving cyclosporine are at increased risk for development of lymphomas and other malignancies, particularly those of the skin. The increased risk appears related to the intensity and duration of immunosuppression rather than to the use of specific agents. Because of the danger of oversuppression of the immune system, which can also increase susceptibility to infection, cyclosporine should not be administered with other immunosuppressive agents except adrenal corticosteroids. The efficacy and safety of cyclosporine in combination with other immunosuppressive agents have not been determined. Some malignancies may be fatal. Transplant patients receiving cyclosporine are at increased risk for serious infection with fatal outcome. Serious Infections Patients receiving immunosuppressants, including cyclosporine, are at increased risk of developing bacterial, viral, fungal, and protozoal infections, including opportunistic infections. These infections may lead to serious, including fatal, outcomes (see BOXED WARNING , and ADVERSE REACTIONS ) . Polyoma Virus Infections Patients receiving immunosuppressants, including cyclosporine, are at increased risk for opportunistic infections, including polyoma virus infections. Polyoma virus infections in transplant patients may have serious, and sometimes, fatal outcomes. These include cases of JC virus-associated progressive multifocal leukoencephalopathy (PML), and polyoma virus-associated nephropathy (PVAN), especially due to BK virus infection, which have been observed in patients receiving cyclosporine. PVAN is associated with serious outcomes, including deteriorating renal function and renal graft loss, (see ADVERSE REACTIONS, Postmarketing Experience ) . Patient monitoring may help detect patients at risk for PVAN. Cases of PML have been reported in patients treated with cyclosporine. PML, which is sometimes fatal, commonly presents with hemiparesis, apathy, confusion, cognitive deficiencies, and ataxia. Risk factors for PML include treatment with immunosuppressant therapies and impairment of immune function. In immunosuppressed patients, physicians should consider PML in the differential diagnosis in patients reporting neurological symptoms and consultation with a neurologist should be considered as clinically indicated. Consideration should be given to reducing the total immunosuppression in transplant patients who develop PML or PVAN. However, reduced immunosuppression may place the graft at risk. Neurotoxicity There have been reports of convulsions in adult and pediatric patients receiving cyclosporine, particularly in combination with high-dose methylprednisolone. Encephalopathy, including Posterior Reversible Encephalopathy Syndrome (PRES), has been described both in postmarketing reports and in the literature. Manifestations include impaired consciousness, convulsions, visual disturbances (including blindness), loss of motor function, movement disorders, and psychiatric disturbances. In many cases, changes in the white matter have been detected using imaging techniques and pathologic specimens. Predisposing factors such as hypertension, hypomagnesemia, hypocholesterolemia, high-dose corticosteroids, high cyclosporine blood concentrations, and graft-versus-host disease have been noted in many but not all of the reported cases. The changes in most cases have been reversible upon discontinuation of cyclosporine, and in some cases, improvement was noted after reduction of dose. It appears that patients receiving liver transplant are more susceptible to encephalopathy than those receiving kidney transplant. Another rare manifestation of cyclosporine-induced neurotoxicity is optic disc edema, including papilloedema, with possible visual impairment, secondary to benign intracranial hypertension. Specific Excipients Anaphylactic Reactions Rarely (approximately 1 in 1000), patients receiving cyclosporine injection have experienced anaphylactic reactions. Although the exact cause of these reactions is unknown, it is believed to be due to the Cremophor ® EL (polyoxyethylated castor oil) used as the vehicle for the intravenous (IV) formulation. These reactions can consist of flushing of the face and upper thorax, and noncardiogenic pulmonary edema, with acute respiratory distress, dyspnea, wheezing, blood pressure changes, and tachycardia. One patient died after respiratory arrest and aspiration pneumonia. In some cases, the reaction subsided after the infusion was stopped. Patients receiving cyclosporine injection should be under continuous observation for at least the first 30 minutes following the start of the infusion and at frequent intervals thereafter. If anaphylaxis occurs, the infusion should be stopped. An aqueous solution of epinephrine 1:1000 should be available at the bedside as well as a source of oxygen. Anaphylactic reactions have not been reported with the soft gelatin capsules or oral solution which lack Cremophor ® EL (polyoxyethylated castor oil). In fact, patients experiencing anaphylactic reactions have been treated subsequently with the soft gelatin capsules or oral solution without incident. Alcohol (ethanol) The alcohol content (see DESCRIPTION ) of cyclosporine should be taken into account when given to patients in whom alcohol intake should be avoided or minimized, e.g. pregnant or breastfeeding women, in patients presenting with liver disease or epilepsy, in alcoholic patients, or pediatric patients. Care should be taken in using cyclosporine with nephrotoxic drugs (see PRECAUTIONS ).",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WARNINGS See boxed warning .,,
basic care acetaminophen,ACETAMINOPHEN,Amazon.com Services LLC,Purpose Pain reliever/fever reducer,"Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take • more than 4,000 mg of acetaminophen in 24 hours • with other drugs containing acetaminophen • 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: • skin reddening • blisters • rash If a skin reaction occurs, stop use and seek medical help right away. Do not use • with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. • if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if you have liver disease Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin Stop use and ask a doctor if • pain gets worse or lasts more than 10 days • fever gets worse or lasts more than 3 days • new symptoms occur • redness or swelling is present These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. Overdose warning: In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222). Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Rare instances of anaphylactoid reactions have occurred in patients receiving corticosteroid therapy (See ADVERSE REACTIONS: Allergic Reactions ). Increased dosage of rapidly acting corticosteroids is indicated in patients on corticosteroid therapy subjected to any unusual stress before, during and after the stressful situation. Average and large doses of hydrocortisone or cortisone can cause elevation of blood pressure, salt and water retention, and increased excretion of potassium. These effects are less likely to occur with the synthetic derivatives except when used in large doses. Dietary salt restriction and potassium supplementation may be necessary. All corticosteroids increase calcium excretion. Literature reports suggest an apparent association between use of corticosteroids and left ventricular free wall rupture after a recent myocardial infarction; therefore, therapy with corticosteroids should be used with great caution in these patients. Corticosteroids can produce reversible hypothalamic-pituitary adrenal (HPA) axis suppression with the potential for corticosteroid insufficiency after withdrawal of treatment. Adrenocortical insufficiency may result from too rapid withdrawal of corticosteroids and may be minimized by gradual reduction of dosage. This type of relative insufficiency may persist for up to 12 months after discontinuation of therapy; therefore, in any situation of stress occurring during that period, hormone therapy should be reinstituted. If the patient is receiving steroids already, dosage may have to be increased. Metabolic clearance of corticosteroids is decreased in hypothyroid patients and increased in hyperthyroid patients. Changes in thyroid status of the patient may necessitate adjustment in dosage. General Patients who are on corticosteroids are more susceptible to infections than are healthy individuals. There may be decreased resistance and inability to localize infection when corticosteroids are used. Infection with any pathogen (viral, bacterial, fungal, protozoan or helminthic) in any location of the body may be associated with the use of corticosteroids alone or in combination with other immunosuppressive agents that affect cellular immunity, humoral immunity, or neutrophil function. 1 These infections may be mild, but may be severe and at times fatal. With increasing doses of corticosteroids, the rate of occurrence of infectious complications increases. 2 Corticosteroids may also mask some signs of current infection. Fungal Infections Corticosteroids may exacerbate systemic fungal infections and therefore should not be used in the presence of such infections unless they are needed to control life-threatening drug reactions. There have been cases reported in which concomitant use of amphotericin B and hydrocortisone was followed by cardiac enlargement and congestive heart failure (See PRECAUTIONS: Drug Interactions : Amphotericin B Injection and Potassium-Depleting Agents). Special Pathogens Latent disease may be activated or there may be an exacerbation of intercurrent infections due to pathogens, including those caused by Amoeba, Candida, Cryptococcus, Mycobacterium, Nocardia, Pneumocystis, Toxoplasma . It is recommended that latent amebiasis or active amebiasis be ruled out before initiating corticosteroid therapy in any patient who has spent time in the tropics or any patient with unexplained diarrhea. Similarly, corticosteroids should be used with great care in patients with known or suspected Strongyloides (threadworm) infestation. In such patients, corticosteroid-induced immunosuppression may lead to Strongyloides hyperinfection and dissemination with widespread larval migration, often accompanied by severe enterocolitis and potentially fatal gram-negative septicemia. Corticosteroids should not be used in cerebral malaria. Tuberculosis The use of prednisone in active tuberculosis should be restricted to those cases of fulminating or disseminated tuberculosis in which the corticosteroid is used for management of the disease in conjunction with an appropriate antituberculous regimen. If corticosteroids are indicated in patients with latent tuberculosis or tuberculin reactivity, close observation is necessary as reactivation of the disease may occur. During prolonged corticosteroid therapy, these patients should receive chemoprophylaxis. Vaccination Administration of live or live, attenuated vaccines is contraindicated in patients receiving immunosuppressive doses of corticosteroids. Killed or inactivated vaccines may be administered. However, the response to such vaccines may be diminished and cannot be predicted . Indicated immunization procedures may be undertaken in patients receiving nonimmunosuppressive doses of corticosteroids as replacement therapy (e.g., for Addison’s disease). Viral Infections Chickenpox and measles can have a more serious or even fatal course in pediatric and adult patients on corticosteroids. In pediatric and adult patients who have not had these diseases, particular care should be taken to avoid exposure. How the dose, route and duration of corticosteroid administration affect the risk of developing a disseminated infection is not known. The contribution of the underlying disease and/or prior corticosteroid treatment to the risk is also not known. If exposed to chickenpox, prophylaxis with varicella zoster immune globulin (VZIG) may be indicated. If exposed to measles, prophylaxis with pooled intramuscular immunoglobulin (IG) may be indicated. (See the respective package inserts for complete VZIG and IG prescribing information.) If chickenpox develops, treatment with antiviral agents may be considered. Ophthalmic Use of corticosteroids may produce posterior subcapsular cataracts, glaucoma with possible damage to the optic nerves, and may enhance the establishment of secondary ocular infections due to bacteria, fungi or viruses. The use of oral corticosteroids is not recommended in the treatment of optic neuritis and may lead to an increase in the risk of new episodes. Corticosteroids should not be used in active ocular herpes simplex because of possible corneal perforation.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WARNINGS,,
UNKNOWN,UNKNOWN,UNKNOWN,Topical Anesthetic External Analgesic,"WARNINGS: For external use only. Avoid contact with eyes. If condition worsens, or if symptoms persist for more than 7 days or clear up and occur again within a few days, discontinue use of this product and consult a physician. Do not use in large quantities, particularly over raw surfaces or blistered areas. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",,
Anticavity Rinse,SODIUM FLUORIDE,"Meijer, Inc.",Purpose Anticavity,Warnings for this product,ORAL,
Sertraline Hydrochloride,SERTRALINE HYDROCHLORIDE,Proficient Rx LP,UNKNOWN,"WARNINGS Clinical Worsening and Suicide Risk Patients with major depressive disorder (MDD), both adult and pediatric, may experience worsening of their depression and/or the emergence of suicidal ideation and behavior (suicidality) or unusual changes in behavior, whether or not they are taking antidepressant medications, and this risk may persist until significant remission occurs. Suicide is a known risk of depression and certain other psychiatric disorders, and these disorders themselves are the strongest predictors of suicide. There has been a long-standing concern, however, that antidepressants may have a role in inducing worsening of depression and the emergence of suicidality in certain patients during the early phases of treatment. Pooled analyses of short-term placebo-controlled trials of antidepressant drugs (SSRIs and others) showed that these drugs increase the risk of suicidal thinking and behavior (suicidality) in children, adolescents, and young adults (ages 18-24) with major depressive disorder (MDD) and other psychiatric disorders. Short-term studies did not show an increase in the risk of suicidality with antidepressants compared to placebo in adults beyond age 24; there was a reduction with antidepressants compared to placebo in adults aged 65 and older. The pooled analyses of placebo-controlled trials in children and adolescents with MDD, obsessive compulsive disorder (OCD), or other psychiatric disorders included a total of 24 short-term trials of 9 antidepressant drugs in over 4400 patients. The pooled analyses of placebo-controlled trials in adults with MDD or other psychiatric disorders included a total of 295 short-term trials (median duration of 2 months) of 11 antidepressant drugs in over 77,000 patients. There was considerable variation in risk of suicidality among drugs, but a tendency toward an increase in the younger patients for almost all drugs studied. There were differences in absolute risk of suicidality across the different indications, with the highest incidence in MDD. The risk differences (drug vs placebo), however, were relatively stable within age strata and across indications. These risk differences (drug-placebo difference in the number of cases of suicidality per 1000 patients treated) are provided in Table 1. Table 1 Age Range Drug-Placebo Difference in Number of Cases of Suicidality per 1000 Patients Treated Increases Compared to placebo <18 14 additional cases 18-24 5 additional cases Decreases Compared to placebo 25-64 1 fewer case >65 6 fewer cases No suicides occurred in any of the pediatric trials. There were suicides in the adult trials, but the number was not sufficient to reach any conclusion about drug effect on suicide. It is unknown whether the suicidality risk extends to longer-term use, i.e., beyond several months. However, there is substantial evidence from placebo-controlled maintenance trials in adults with depression that the use of antidepressants can delay the recurrence of depression. All patients being treated with antidepressants for any indication should be monitored appropriately and observed closely for clinical worsening, suicidality, and unusual changes in behavior, especially during the initial few months of a course of drug therapy, or at times of dose changes, either increases or decreases. The following symptoms, anxiety, agitation, panic attacks, insomnia, irritability, hostility, aggressiveness, impulsivity, akathisia (psychomotor restlessness), hypomania, and mania, have been reported in adult and pediatric patients being treated with antidepressants for major depressive disorder as well as for other indications, both psychiatric and nonpsychiatric. Although a causal link between the emergence of such symptoms and either the worsening of depression and/or the emergence of suicidal impulses has not been established, there is concern that such symptoms may represent precursors to emerging suicidality. Consideration should be given to changing the therapeutic regimen, including possibly discontinuing the medication, in patients whose depression is persistently worse, or who are experiencing emergent suicidality or symptoms that might be precursors to worsening depression or suicidality, especially if these symptoms are severe, abrupt in onset, or were not part of the patient's presenting symptoms. If the decision has been made to discontinue treatment, medication should be tapered, as rapidly as is feasible, but with recognition that abrupt discontinuation can be associated with certain symptoms (see PRECAUTIONS and DOSAGE AND ADMINISTRATION —Discontinuation of Treatment with sertraline hydrochloride, for a description of the risks of discontinuation of Sertraline hydrochloride). Families and caregivers of patients being treated with antidepressants for major depressive disorder or other indications, both psychiatric and nonpsychiatric, should be alerted about the need to monitor patients for the emergence of agitation, irritability, unusual changes in behavior, and the other symptoms described above, as well as the emergence of suicidality, and to report such symptoms immediately to health care providers. Such monitoring should include daily observation by families and caregivers. Prescriptions for Sertraline hydrochloride should be written for the smallest quantity of tablets consistent with good patient management, in order to reduce the risk of overdose. Screening Patients for Bipolar Disorder: A major depressive episode may be the initial presentation of bipolar disorder. It is generally believed (though not established in controlled trials) that treating such an episode with an antidepressant alone may increase the likelihood of precipitation of a mixed/manic episode in patients at risk for bipolar disorder. Whether any of the symptoms described above represent such a conversion is unknown. However, prior to initiating treatment with an antidepressant, patients with depressive symptoms should be adequately screened to determine if they are at risk for bipolar disorder; such screening should include a detailed psychiatric history, including a family history of suicide, bipolar disorder, and depression. It should be noted that sertraline hydrochloride is not approved for use in treating bipolar depression. Serotonin Syndrome: The development of a potentially life-threatening serotonin syndrome has been reported with SNRIs and SSRIs, including Sertraline hydrochloride, alone but particularly with concomitant use of other serotonergic drugs (including triptans, tricyclic antidepressants, fentanyl, lithium, tramadol, tryptophan, buspirone, and St. John's Wort) and with drugs that impair metabolism of serotonin (in particular, MAOIs, both those intended to treat psychiatric disorders and also others, such as linezolid and intravenous methylene blue). Serotonin syndrome symptoms may include mental status changes (e.g., agitation, hallucinations, delirium, and coma), autonomic instability (e.g., tachycardia, labile blood pressure, dizziness, diaphoresis, flushing, hyperthermia), neuromuscular symptoms(e.g., tremor, rigidity, myoclonus, hyperreflexia, incoordination), seizures, and/or gastrointestinal symptoms (e.g., nausea, vomiting, diarrhea). Patients should be monitored for the emergence of serotonin syndrome. The concomitant use of sertraline hydrochloride with MAOIs intended to treat psychiatric disorders is contraindicated. Sertraline hydrochloride should also not be started in a patient who is being treated with MAOIs such as linezolid or intravenous methylene blue. All reports with methylene blue that provided information on the route of administration involved intravenous administration in the dose range of 1 mg/kg to 8 mg/kg. No reports involved the administration of methylene blue by other routes (such as oral tablets or local tissue injection) or at lower doses. There may be circumstances when it is necessary to initiate treatment with a MAOI such as linezolid or intravenous methylene blue in a patient taking sertraline hydrochloride. Sertraline hydrochloride should be discontinued before initiating treatment with the MAOI (see CONTRAINDICATIONS and DOSAGE AND ADMINISTRATION ). If concomitant use of sertraline hydrochloride with other serotonergic drugs including triptans, tricyclic antidepressants, fentanyl, lithium, tramadol, buspirone, tryptophan, and St. John's Wort is clinically warranted, patients should be made aware of a potential increased risk for serotonin syndrome, particularly during treatment initiation and dose increases. Treatment with Sertraline hydrochloride and any concomitant serotonergic agents should be discontinued immediately if the above events occur and supportive symptomatic treatment should be initiated. Angle-Closure Glaucoma: The pupillary dilation that occurs following use of many antidepressant drugs including sertraline may trigger an angle closure attack in a patient with anatomically narrow angles who does not have a patent iridectomy.",ORAL,
Antibacterial 2X,BENZALKONIUM CHLORIDE,Sante Manufacturing Inc,Purpose: Antibacterial,For external use only,TOPICAL,
Acid Reducer,ESOMEPRAZOLE MAGNESIUM,CVS Pharmacy,Purpose Acid reducer,"Warnings Allergy alert : Do not use if you are allergic to esomeprazole. Esomeprazole may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If an allergic reaction occurs, stop use and seek medical help right away.",ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS 1. Cardiac Conduction: Diltiazem prolongs AV node refractory periods without significantly prolonging sinus node recovery time, except in patients with sick sinus syndrome. This effect may rarely result in abnormally slow heart rates (particularly in patients with sick sinus syndrome) or second- or third-degree AV block (six of 1243 patients for 0.48%). Concomitant use of diltiazem with beta-blockers or digitalis may result in additive effects on cardiac conduction. A patient with Prinzmetal's angina developed periods of asystole (2 to 5 seconds) after a single dose of 60 mg of diltiazem (see ADVERSE REACTIONS ). 2. Congestive Heart Failure: Although diltiazem has a negative inotropic effect in isolated animal tissue preparations, hemodynamic studies in humans with normal ventricular function have not shown a reduction in cardiac index nor consistent negative effects on contractility (dP/dt). Experience with the use of diltiazem alone or in combination with beta-blockers in patients with impaired ventricular function is very limited. Caution should be exercised when using the drug in such patients. 3. Hypotension: Decreases in blood pressure associated with diltiazem therapy may occasionally result in symptomatic hypotension. 4. Acute Hepatic Injury: In rare instances, significant elevations in enzymes such as alkaline phosphatase, LDH, SGOT, SGPT, and other phenomena consistent with acute hepatic injury have been noted. These reactions have been reversible upon discontinuation of drug therapy. The relationship to diltiazem is uncertain in most cases, but probable in some (see PRECAUTIONS ).",,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Sunscreen Purpose Sunscreen,"WARNINGS For external use only. Do not use on damaged or broken skin. When using this product keep out of eyes. Rinse with water to remove. Stop use and ask a doctor if rash occurs. Keep out of reach of children. If product is swallowed, get medical help or contact a Poison Control Center right away.",,
FOREVER SKIN GLOW 24h wear radiant foundation Perfection and hydration Concentrated floral skincare with suncreen Broad spectrum SPF 15 00,"OCTISALATE, TITANIUM DIOXIDE",Parfums Christian Dior,Purpose Sunscreen,"Warnings For external use only. Do not use on damaged or broken skin. When using this product, keep out of eyes. Rinse with water to remove. Stop use and ask a doctor if rash occurs. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",TOPICAL,
